,business_id,name,chain_name,address,city,state,postal_code,latitude,longitude,stars,American,Mexican,Italian,Japanese,Chinese,Thai,Mediterranean,French,Vietnamese,Greek,Indian,Korean,Hawaiian,African,Spanish,Middle Eastern,Other,age,review_count_16_19,review_normalized,pos,neg,neutral,pos_norm,neg_norm,neutral_norm,bi_goodfood_text,bi_goodloc_text,bi_bad_text,Delivery,RestaurantsPriceRange2,OutdoorSeating,HasTV,Touristy,Hipster,Romantic,Divey,Intimate,Trendy,Upscale,Classy,Casual,Alc_None_served,Alc_beer_and_wine,Alc_full_bar,open_breakfast,open_lunch,open_dinner,open_hours_meals,displayed_open_hours,is_crowded,is_chain,is_open,operation_years
0,248ccWwT6bFbR6am5w391A,100 Pizzitas,,900 E 7th St,Austin,TX,78702,30.2665554,-97.7330325,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,34,11.33,23,5,6,7.67,1.67,2,0,4,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0,0,1
1,FwO183blfDg8g6sFv-NTsQ,15th Street Cafe,,303 W 15th St,Austin,TX,78701,30.2773681,-97.7426463,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,0.5,4,1,0,0.4,0.1,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
2,cmFvz2m5NIyq9PAo4-qCGA,1776 Cheesesteak,,1505 Town Creek Dr,Austin,TX,78741,30.2416861,-97.7268397,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,74,14.8,53,14,7,10.6,2.8,1.4,6,3,2,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,3,1,1,0,1,0
3,hpAOH8cmY5WHjnl8jGQ1dA,1886 Cafe & Bakery,,604 Brazos St,Austin,TX,78701,30.268032,-97.74195,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,216,14.4,163,33,20,10.87,2.2,1.33,30,34,12,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,1,1,0,1,0
4,Qc18dZxkWKd3MuP90X8tgA,1st Choice Mediterranean & Moroccan Food,,403 E 6th St,Austin,TX,78701,30.2667569,-97.7391877,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,14,3.5,13,1,0,3.25,0.25,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,3
5,QzFBu9Zj5zS-sWyrmysEOQ,24 Diner,,"600 N Lamar Blvd, Ste 200",Austin,TX,78703,30.27192193,-97.75419384,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,595,54.09,386,134,75,35.09,12.18,6.82,145,115,38,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,1,1,0,1,0
6,xFsKWQXoZsvj6DHu2A6frQ,290 West Club,,12013 W Hwy 290,Austin,TX,78737,30.21065471,-97.96886367,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1.22,9,2,0,1,0.22,0,0,4,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,0,3
7,1tepUnoMCFEVMNE26ijYRQ,2N1 Salad Bar and Grill,,901 W Braker Ln,Austin,TX,78758,30.382948,-97.689198,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,89,22.25,81,5,3,20.25,1.25,0.75,11,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,1,1,0,1,0
8,3sAFxULUcjyPzj3G7YPwiA,3 Train Pizzeria,,8127 Mesa Dr,Austin,TX,78759,30.3730985,-97.755525,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,51,12.75,31,15,5,7.75,3.75,1.25,3,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0,3
9,JhnIQa0_mWbYsntdrST31A,3 Woks Down,,"1914 Guadalupe, Ste B",Austin,TX,78705,30.2826322,-97.7424186,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,43,21.5,29,9,5,14.5,4.5,2.5,10,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,0,2
